1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,20,0,0,2,0,0,0,2,2,5,0,0,0,0,1,0,18,2,0,2,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,5,2
2,0,0,1,3,0,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,3,5,14,2,1,0,0,2,0,0,10,3,3,2,2,0,0,2,0,0,0,2,0,5,0,0,0,0,2,0,0,0,0,12,0,4,1,0,0,0,0,0,0,1,1,0,0,0,2,4,0,0,0,0,0,0,0
0,0,0,1,0,2,0,0,7,0,43,0,0,2,0,2,2,8,0,0,8,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,0,9,0,5,0,0,7,2,3,2,3,0,1,2,0,32,1,0,5,5,0,0,0,3,0,0,0,0,5,0,0,0,3,0,11,2,2,0
0,0,1,0,1,0,0,0,0,1,0,0,0,2,8,0,11,2,0,5,1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,2,2,0,1,3,0,0,0,1,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,6,0,2,2,1,1,0,0,0,2,1,4,1,0,0,3,0,0
0,3,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,1,0,3,0,0,2,0,3,2,0,0,0,0,1,0,0,3,0,1,2,1,3,0,0,0,0,0,1,0,20,0,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,0,0,0,0,20,0,0,0,2,3,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,3,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,3,0,1,3,5,1,0,0,0,2,0,0,0,0,5,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,18,0,22,0,0,0,0,0,0,0,5,2,0,0,0,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,5,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0
0,0,4,2,0,5,0,0,0,0,2,3,0,0,0,0,1,0,4,0,0,4,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,3,0,0,1,0,3,3,2,0,1,0,0,1,0,3,6,5,1,0,0,4,0,0,0,1,6,0,0,3,2,0,3,6,6,6
0,0,0,4,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,18,12,3,25,0,0,0,5,0,0,0,0,5,5,23,0,0,0,0,0,0,12,0,10,0,0,0,0,3,0,0,0,0,5,0,6,10,0,0,0,0,0,0,5,4,0,0,0,0,5,0,0,0,0,0,0,0
1,0,10,0,0,2,0,0,0,0,0,0,3,2,0,0,2,3,0,0,4,9,1,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,2,4,0,0,0,8,0,2,0,0,1,0,3,3,4,0,1,3,0,4,0,0,4,6,2,0,1,2,1,0,1,3,5,0,0,0,3,0,2,1,0,1
0,3,0,0,20,0,6,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,2,2,4,5,2,3,0,0,0,7,0,1,6,0,4,4,5,0,1,0,0,0,1,3,0,23,0,0,3,0,2,0,0,0,0,3,0,20,7,0,0,0,0,0,0,16,52,0,0,0,10,14,0,0,0,1,0,0,0
0,0,0,2,0,1,0,2,0,0,3,0,0,1,0,0,3,2,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,7,2,0,0,1,6,0,10,0,3,1,0,9,0,3,0,0,0,0,3,0,0,5,2,20,1,4,4,0,0,0,15,0,0,0,0,2,2,1,1,0,3
1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,4,1,2,0,0,1,0,10,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,10,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,10,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,10,0,3,0,0,2,0,1,0,2,3,0,2,0,0,0,6,2,1,0,0,0,0,0,0,0,0,18,2,2,0,0,2,0,0,0,6,1,1,0,1,0,0,20,0,0,0,0,2,0,6,0,0,20,0,0,0,0,18,8,2,8,2,25,0,0,0,0,5,0,0,10,7,0,3,6,2,3
1,0,8,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,30,14,0,0,0,0,0,0,0,8,2,4,0,0,0,3,0,0,0,2,0,0,0,0,4,0,0,0,0,0,29,1,0,6,0,7,0,0,9,0,9,1,0,1,0,3,0,0,0,0,0,2,0,0,3,3,0,4,0,0,0
0,4,0,2,4,1,6,2,1,0,0,8,0,0,2,0,0,2,0,0,0,0,0,0,2,2,10,10,0,0,0,3,1,0,0,0,2,3,18,0,0,0,0,0,0,2,0,5,2,0,0,0,4,0,0,0,0,10,0,15,6,2,0,0,3,2,0,2,10,0,0,0,21,4,0,0,0,0,0,0,0
0,0,0,10,0,0,0,0,0,0,0,0,0,2,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,12,0,0,0,0,0,0,15,0,2,0,0,0,1,2,0,0,0,0,25,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,0,7,0,3,0,0,0,0,0,10,3,0,2,0,0,0,20,0,0,0,6,0,1,0,3,0,0,0,0,2,0,0,0,0,20,0,0,0,8,7,0,0,0,3,0,2,0,0,0,0,2,0,2,3,1,0,0,10,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,3,15,0,3,0
8,0,5,0,0,3,2,0,4,1,27,1,3,9,0,2,2,36,0,2,15,0,0,0,0,1,0,0,0,1,5,50,2,0,0,60,1,0,1,8,80,13,0,4,120,0,3,0,11,1,0,4,0,2,0,3,0,0,11,0,0,10,15,6,0,2,9,0,2,0,3,7,0,1,0,3,0,12,2,1,2
0,0,0,0,0,0,2,0,0,1,1,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,3,0,2,0,2,2,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,2,0,0,1,0,0,10,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,8,0,0,0,1,0,0,0
2,3,0,2,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,5,1,0,3,0,2,0,0,4,0,3,1,0,0,0,0,0,2,0,3,0,2,20,5,0,10,3,0,0,0,5,0,0,8,0,1,5,2,3,0,0,2,0,0,3,0,10,0,0,3,0,2,0,3,5,0,3,1,3,1,0,0,0,0,0,0,10,2,2,0,0,5,3,0,0,3,0,0,0,0
2,14,0,1,2,0,5,0,0,2,0,2,0,0,0,0,0,0,10,0,0,0,0,1,3,10,0,5,1,0,0,2,1,0,3,3,1,3,5,0,0,2,0,0,0,2,0,10,0,0,0,0,2,0,0,0,0,9,0,4,0,0,0,0,0,0,0,1,1,0,0,0,10,3,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,1,20,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,1,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,3,2,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,0,0,5,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,8,0,1,0,1,1,0,0,0,0,2,1,0,0,2,0,0,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,1,15,0,0,0,0,25,0,2,0,0,20,0,0,0,0,1,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0
0,0,1,2,0,3,0,0,2,0,4,0,3,1,0,0,7,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,2,3,1,0,0,14,5,3,0,0,0,0,5,0,7,0,0,10,0,3,0,0,5,5,3,2,5,3,0,0,0,5,1,0,0,1,20,0,3,1,14,1
0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,4,0,1,0,5,10,1,0,5,1,1,1,1,1,0,0,0,0,0,5,1,0,0,6,0,0,2,5,1,0,2,0,1,5,0,2,0,0,4,0,0,0,2,2,2,1,1,0,1,0,20,2,1,0,1,1,2,0,0,1,0,1,0,1
34,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,19,0,4,2,0,0,0,21,0,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,7,0,2,0,0,0,0,0,35,1,0,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,0,0,0,0,0,0,0,0
0,7,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0,0,0,0,2,1,7,0,0,2,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,7,0,0,0,0,0,0,0
2,0,2,5,0,1,0,1,1,0,4,0,10,2,1,0,0,5,0,0,20,20,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,3,2,0,1,10,0,1,2,2,0,0,20,0,2,0,0,5,0,3,0,0,3,3,7,0,1,5,0,0,0,5,2,0,0,2,2,5,2,0,0,0
0,3,0,3,0,2,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5,2,5,0,0,0,0,0,0,2,2,1,2,0,0,1,0,0,3,0,0,5,0,5,4,0,5,0,5,0,5,0,2,0,0,0,0,0,6,3,3,0,1,3,0,0,0,0,1,3,0,0
0,1,0,1,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,21,0,0,0,0,0,0,0
0,2,0,0,1,0,1,0,0,20,0,4,0,0,2,0,0,0,35,0,0,0,0,0,0,0,7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,6,0,30,0,0,0,0,0,1,0,1,2,0,0,0,14,1,0,0,0,0,0,0,0
3,0,3,4,3,0,0,0,2,0,2,0,4,1,0,0,2,3,0,0,8,2,0,0,0,3,0,0,0,0,2,0,1,0,0,4,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,6,0,0,3,0,3,0,3,0,0,4,0,3,0,2,3,0,0,0,0,3,0,0,0,2,8,5,0,1,4
1,0,2,0,0,1,0,0,1,0,5,1,1,2,0,0,1,3,0,0,2,14,0,1,0,0,0,0,0,0,2,14,0,0,0,3,1,0,0,3,0,0,0,0,14,0,2,0,0,0,0,2,0,0,0,0,1,0,2,0,0,4,2,1,0,1,1,0,0,0,0,2,0,0,0,2,1,1,0,0,0
5,1,0,0,0,7,0,4,1,0,1,0,3,8,1,0,0,2,0,0,1,5,0,0,1,0,0,0,0,0,0,0,10,0,0,2,1,0,0,3,3,0,0,1,3,0,1,1,25,5,0,2,2,1,6,2,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,2,2,1,2,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35,0,0,0,16,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,1,0,2,1,1,0,0,0,0,1,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,1,0,0,0,0,10,0,0,0,0,0,2,5,0,0,0,25,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,2,20,0,0,0,1,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,10,2,2,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,2,1
0,0,0,0,2,0,3,0,0,3,0,6,0,0,0,0,0,0,4,0,0,0,0,3,3,3,3,3,8,0,1,0,0,30,4,0,2,4,2,0,0,0,30,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,15,3,0,3,2,1,0,0,0,1,0,0
0,0,1,25,0,1,0,1,0,0,1,0,7,3,9,0,25,1,0,10,2,2,0,0,0,0,0,0,0,0,3,1,4,0,0,1,1,0,0,0,3,0,0,8,9,0,0,0,1,3,0,1,1,22,0,0,7,1,2,0,0,4,3,4,0,5,6,0,0,0,1,0,0,0,6,4,2,2,13,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,7,0,7,0,0,3,0,2,12,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,10,0,0,1,0,0,0,2,2,16,0,3,3,0,0,0,0,7,0,0,2,0,3,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,0,1,1,0,7,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,5,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
